"Loc_code","Name","Province","Latitude","Longitude","counts","FirstCount","LatestCount","boundary_polygon"
"23312919","Deloskop Farm Dam","Limpopo","-23.5104","29.31983","22","2003-08-02","2015-02-25",NA
"22132916","Den Staat Irrigation Dams","Limpopo","-22.21221","29.2755","9","2001-07-15","2005-08-07",NA
"23472927","Doornbult Farm Dam","Limpopo","-23.7833","29.45","25","2001-01-21","2020-02-04",NA
"24152845","Doorndraai Dam","Limpopo","-24.29088","28.77357","4","1998-07-19","2001-02-10","28.75842559900213,-24.30048664143683,0 28.76257282927606,-24.299880778077,0 28.76433385110543,-24.29982372288793,0 28.76593511659971,-24.29948515651379,0 28.76706488917083,-24.29837811925803,0 28.76846237845068,-24.29786155852043,0 28.77125434014502,-24.2974840908381,0 28.77510261315578,-24.29514151710864,0 28.77689138218043,-24.29420219198089,0 28.77762103773026,-24.2949336618923,0 28.77898425650045,-24.29511334487244,0 28.77820297824084,-24.29387520609279,0 28.77916803263052,-24.29218347894809,0 28.78106737133147,-24.29090080848547,0 28.78340549619477,-24.28917708623692,0 28.78443822652264,-24.28636725511081,0 28.78470485599038,-24.2857111606332,0 28.78427083552363,-24.28510709395788,0 28.7836410159203,-24.28483166689352,0 28.78222319944875,-24.28443016689687,0 28.78136184152253,-24.28482358961967,0 28.78039003508256,-24.28476030897845,0 28.77953408044429,-24.28338528492182,0 28.77971214914043,-24.28225334664356,0 28.77837588811902,-24.28195332773034,0 28.7781268341687,-24.28131529276854,0 28.77818856131174,-24.28046132876114,0 28.77785151846342,-24.27944460334675,0 28.77659142394055,-24.27975779678064,0 28.77559221367032,-24.28010803898346,0 28.77585741022259,-24.28068842538819,0 28.77592296919093,-24.28144424337023,0 28.776093696741,-24.28254104708855,0 28.77674328932405,-24.28333967184727,0 28.77680652346665,-24.28542589437014,0 28.77574731540446,-24.28560042429177,0 28.7746904577602,-24.28571792999024,0 28.77479352526545,-24.28636153078355,0 28.77279662007482,-24.28679084324232,0 28.77037197468653,-24.28671715319199,0 28.76571477298256,-24.28571330797882,0 28.76525932211326,-24.28552135962907,0 28.76468182872019,-24.28593516512601,0 28.76361747752904,-24.28579952859689,0 28.76286309543411,-24.28566482886336,0 28.76209797157159,-24.28546880753164,0 28.76101810032283,-24.28591694386071,0 28.76271169455481,-24.28676446089252,0 28.76376917839457,-24.28687069380162,0 28.76482970676134,-24.28733592899834,0 28.76634779351666,-24.28903658706526,0 28.76803869196161,-24.29059268963404,0 28.76820064480953,-24.29178378598201,0 28.76718051857223,-24.29286994410477,0 28.76648779494377,-24.29366937513846,0 28.7657345635493,-24.29418664980739,0 28.76495325833762,-24.29467499089691,0 28.7624879436571,-24.29558305283519,0 28.75901328852864,-24.29596450102341,0 28.75718040568748,-24.29493048710056,0 28.75612002118514,-24.29530365192485,0 28.754048558756,-24.29623971581665,0 28.75316872071356,-24.29622595636522,0 28.75215544501124,-24.29670354052581,0 28.7490624659596,-24.29710050244763,0 28.74615566498621,-24.29821782382058,0 28.74505899558917,-24.29930576454597,0 28.74290530524107,-24.30022658408271,0 28.74060902478262,-24.30163371116889,0 28.73372053181581,-24.30639603177466,0 28.73238804900804,-24.30656429497878,0 28.73280846327738,-24.30779475260951,0 28.73185560153041,-24.31063888855246,0 28.73174163115454,-24.31316324731864,0 28.73185026310541,-24.31605285791515,0 28.73149123261662,-24.31771840389233,0 28.73037476989281,-24.31904019724376,0 28.72803036800167,-24.32039251416035,0 28.72524048026451,-24.32081050710924,0 28.72342253476279,-24.32071506908091,0 28.7220242637056,-24.32140844800171,0 28.721818142697,-24.32213568217987,0 28.71931832103316,-24.32311748485006,0 28.71742426213599,-24.32337884580298,0 28.71642297623662,-24.32144268197962,0 28.7154216487084,-24.32089310028006,0 28.715074381136,-24.32014728301207,0 28.7116678170771,-24.31993064683415,0 28.71130035942468,-24.32099103853694,0 28.71496709316094,-24.32144807012267,0 28.71533261483354,-24.32219435380452,0 28.71539467401554,-24.32355151831779,0 28.71550880424393,-24.32532079004938,0 28.71583753064815,-24.32569285142746,0 28.71713616297614,-24.3261941812846,0 28.71957286321009,-24.32748618194541,0 28.71990008057013,-24.32808437137916,0 28.72020661948926,-24.32839548555397,0 28.72054859717226,-24.32818638771445,0 28.72041808876944,-24.3274113532829,0 28.72128199592076,-24.32726980934087,0 28.72206785602195,-24.32681605496278,0 28.72259972867737,-24.32610763784239,0 28.72303665623862,-24.32492877455739,0 28.72563766907894,-24.32400788094697,0 28.72694953261685,-24.32387350714357,0 28.72813115550866,-24.32399901692171,0 28.73070539317494,-24.32271959781542,0 28.73362861005094,-24.32066902133954,0 28.73569493758532,-24.3176928458052,0 28.73632350355069,-24.31367166757999,0 28.73698551061582,-24.3108723876332,0 28.73892610203274,-24.30879529335571,0 28.74191223993302,-24.30616913430763,0 28.74343060747104,-24.30621372448889,0 28.74365592990909,-24.3058930638158,0 28.74271022840614,-24.30511603426728,0 28.74465717389759,-24.30417472976887,0 28.74674753033037,-24.30344438474343,0 28.74996563153751,-24.30141573756879,0 28.75319757772557,-24.30175829873521,0 28.75659917875159,-24.30127392322891,0 28.75842559900213,-24.30048664143683,0"
"24312802","Goedehoop Dam","Limpopo","-24.5257","28.02851","31","2005-07-29","2021-01-14",NA
"23372923","Kalkfontein Irrigation Dams","Limpopo","-23.61945","29.37262","31","2001-01-21","2020-02-04",NA
"24313103","Klaserie Dam","Limpopo","-24.526307","31.064738","5","2018-07-30","2020-07-10","31.064738,-24.526307,0 31.065598,-24.526307,0 31.065598,-24.525447,0 31.064738,-24.525447,0"
"23153110","Kruger National Park: Rooibosrand Dam","Limpopo","-23.25968","31.16934","41","2001-01-16","2019-07-12",NA
"22203109","Limpopo River: Kruger / Maluleke","Limpopo","-22.33797","31.13108","5","2004-12-12","2008-02-02",NA
"22112925","Limpopo River: Mapungubwe","Limpopo","-22.17738","29.41117","5","2004-12-11","2008-02-01",NA
"24152858","Moorddrift Dam","Limpopo","-24.25774","28.97834","9","2004-07-15","2008-07-31",NA
"24312843","Naboomspruit Sewage Works","Limpopo","-24.51552","28.7249","18","2000-01-20","2008-07-29","28.72388696333285,-24.51654609087163,0 28.72386377456337,-24.51669685868934,0 28.72381884479941,-24.51685513730954,0 28.72393661828093,-24.51701814199986,0 28.72414133721366,-24.5171006231943,0 28.72437755438255,-24.5172035600482,0 28.72453424751429,-24.5171755427019,0 28.72460544294188,-24.51708479110777,0 28.72487449260997,-24.51676203892113,0 28.72510159947269,-24.51656345618454,0 28.72550405586658,-24.51611105093003,0 28.72605941536799,-24.51553444164706,0 28.72652476866999,-24.51487053829061,0 28.72624197186702,-24.51451385069489,0 28.72602076474779,-24.51444229268802,0 28.72599894867844,-24.51424787882507,0 28.7259179034482,-24.51405825859833,0 28.72581740037291,-24.51396414952465,0 28.72558118775869,-24.5138612147136,0 28.72527756692152,-24.51394521818841,0 28.72502122990167,-24.51416086654604,0 28.72468921020477,-24.51449318878368,0 28.72441191103242,-24.51479615877442,0 28.72409862389631,-24.5151045957448,0 28.72367590821,-24.51552221219771,0 28.72351628441529,-24.51573578001489,0 28.72339116230423,-24.51598617505493,0 28.72341972729353,-24.51619218309827,0 28.72388696333285,-24.51654609087163,0"
"23573102","Namakgale Sewage Works","Limpopo","-23.95611","31.04717","25","2000-07-14","2010-02-08",NA
"24392841","Nylsvley Nature Reserve","Limpopo","-24.6516","28.68506","47","1998-01-01","2021-01-16","28.66790780445923,-24.65534467261453,0 28.66512634742901,-24.65706350827865,0 28.67250159369344,-24.66452608729161,0 28.67394299008704,-24.66107658135593,0 28.67688573295467,-24.66296285487552,0 28.67963760666845,-24.66202919427879,0 28.68218935403194,-24.66312396245876,0 28.68530266422299,-24.66318582557573,0 28.68720160297052,-24.66162936681316,0 28.68933835807457,-24.66025824060175,0 28.68933716488944,-24.66013283521292,0 28.69203614583016,-24.65884941859067,0 28.69311658105989,-24.65614156875146,0 28.69238941540115,-24.65404129746872,0 28.69223449053867,-24.65252778931382,0 28.69607233644527,-24.64913512943537,0 28.69701243103487,-24.64763770954964,0 28.69820876114991,-24.6464642019588,0 28.71892425489778,-24.64226204631073,0 28.71562051284991,-24.6358022607127,0 28.71408016997985,-24.63228922966072,0 28.71295417785233,-24.6298384277604,0 28.71145075019918,-24.62658707868063,0 28.71089456540001,-24.62546778651931,0 28.70859030891717,-24.62115946577898,0 28.70722345880565,-24.61750171709435,0 28.706584412911,-24.6156917964924,0 28.70627338720519,-24.61278384889615,0 28.70525057899762,-24.60805155205226,0 28.69603127231719,-24.60889337322569,0 28.68960069236958,-24.60929930755322,0 28.68597341366657,-24.6136719946539,0 28.67989077708396,-24.6120931915137,0 28.67915872515329,-24.61346439703701,0 28.67800044602599,-24.6157130115685,0 28.67876122636775,-24.61769814272132,0 28.67873062534024,-24.62061573940425,0 28.67802950976699,-24.62461897118509,0 28.6831161239305,-24.6298444703408,0 28.68417610077062,-24.63221536665511,0 28.68837520359726,-24.63392424958364,0 28.69056007712679,-24.63632286701327,0 28.69326877794774,-24.6395105565087,0 28.69317164923277,-24.64216521171749,0 28.69396936357657,-24.64315929903201,0 28.69327928175936,-24.64529540547204,0 28.69263771515077,-24.64749337155132,0 28.69181052494183,-24.6482777131946,0 28.69023157004706,-24.64869519781229,0 28.68735399552658,-24.64831135615701,0 28.67773750759085,-24.65045808844668,0 28.67482069408979,-24.65058829067262,0 28.67353308588266,-24.64981598160412,0 28.67212221482236,-24.6492406648731,0 28.6701319798796,-24.64912823724151,0 28.6663759976399,-24.65075141281507,0 28.66790780445923,-24.65534467261453,0"
"24103100","Olifants River: North Shareblock","Limpopo","-24.16675","31.00202","2","2000-07-09","2001-02-26",NA
"24033119","Olifants River: Selati Rivers at Cleveland","Limpopo","-24.03904","31.17274","19","2004-04-27","2009-07-26",NA
"24013110","PMC Wetlands","Limpopo","-23.96","31.1719","42","2000-07-29","2019-07-27",NA
"23512927","Polokwane (Pietersburg) Bird Sanctuary","Limpopo","-23.85","29.45","29","1997-02-01","2020-02-04",NA
"23522930","Polokwane Nature Reserve: Retention Dams","Limpopo","-23.8667","29.5","15","2003-01-31","2010-02-11",NA
"23472924","Rondepan Farm Dams","Limpopo","-23.77367","29.40339","32","2001-01-21","2020-02-04",NA
"25132830","Rust de Winter Dam","Limpopo","-25.22791","28.48869","17","1995-01-14","2010-02-18",NA
"24013105","Selati Tailings Dam","Limpopo","-24.03035","31.0979","28","2005-07-30","2019-07-28",NA
"24362924","Sterkloop Wetlands","Limpopo","-23.9007","29.4109","32","2001-01-21","2020-02-04",NA
"23532946","Turfloop Dam","Limpopo","-23.88524","29.77344","20","2001-01-21","2011-07-21",NA
"24003105","Van Ruyssen Dam","Limpopo","-24.00414","31.09377","28","2005-07-30","2019-07-28",NA
"24402839","Visser's Dam","Limpopo","-24.67205","28.66014","6","1998-06-28","2001-02-03","28.6589379385839,-24.672941968758,0 28.65947456079147,-24.67292814814149,0 28.65984287782912,-24.67294118341559,0 28.66018431326462,-24.67300351773387,0 28.66056721078914,-24.67306601434507,0 28.66088127150345,-24.67321468523899,0 28.6611000265002,-24.67296806133247,0 28.66123683712343,-24.67274591942012,0 28.66144189879185,-24.67252375470353,0 28.66156377909383,-24.6723631611007,0 28.66172578283347,-24.67209144565718,0 28.66195631376,-24.67184455294207,0 28.66214499410123,-24.67153605688104,0 28.66236816023947,-24.67128292558292,0 28.66236674052795,-24.6710713556624,0 28.6623645591142,-24.67074606994911,0 28.66234565438289,-24.67025792318339,0 28.6623301161798,-24.67004551166709,0 28.66196924804658,-24.67027410847958,0 28.66150741297248,-24.67050061258304,0 28.66110080962767,-24.67056379980036,0 28.66069257537924,-24.67057837244683,0 28.66019553877086,-24.67069029030123,0 28.65943987542718,-24.67080433794872,0 28.65911048699135,-24.67074133336024,0 28.65844371881853,-24.67066080269956,0 28.6577791192548,-24.67064473485071,0 28.65733026530347,-24.67077529422281,0 28.65695333449418,-24.67101983664298,0 28.65675584291147,-24.67147602205083,0 28.65679183884922,-24.67180179770979,0 28.65666608607853,-24.67219310529167,0 28.65641461171271,-24.67261705923832,0 28.65671960115203,-24.67268229366768,0 28.65698880474659,-24.67250300937565,0 28.65748993081468,-24.67264939363995,0 28.65752521684292,-24.67295860284167,0 28.658222733053,-24.67294201571585,0 28.6589379385839,-24.672941968758,0"
